Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1985,06/17,Little Jack Slough,24550,66,,,,89
1985,06/17,Polly Creek,24540,107,,,,160
1985,06/17,Tuxedni Bay,24530,300,1,,1,784
1985,06/17,West Side,24610,1,,,,34
1985,06/21,Little Jack Slough,24550,4,,,,2
1985,06/21,Polly Creek,24540,106,,,2,381
1985,06/21,Silver Salmon,24520,5,,,,150
1985,06/21,Tuxedni Bay,24530,100,2,,3,"1,247"
1985,06/21,West Side,24610,1,,,,33
1985,06/24,Polly Creek,24540,8,,,1,83
1985,06/24,Silver Salmon,24520,,,,,13
1985,06/24,Tuxedni Bay,24530,36,4,,7,"1,352"
1985,06/24,West Side,24610,,,,,26
1985,06/26,,24590,1,9,,2,22
1985,06/28,#3 Bay,24790,37,1,4,52,486
1985,06/28,Beluga,24730,294,1,,2,19
1985,06/28,Birch Hill,24780,6,,,6,69
1985,06/28,Chinitna,24510,29,3,3,15,149
1985,06/28,East Side,24620,117,28,487,49,"4,260"
1985,06/28,Fire Island,24743,27,2,,,7
1985,06/28,Little Jack Slough,24550,22,4,,1,129
1985,06/28,Polly Creek,24540,60,,5,29,532
1985,06/28,Pt. Mackenzie,24742,5,,,,1
1985,06/28,Pt. Possession,24770,190,,3,97,190
1985,06/28,Silver Salmon,24520,3,,10,5,483
1985,06/28,Susitna Flats,24741,8,,,,4
1985,06/28,Trading Bay,24710,131,,4,9,64
1985,06/28,Tuxedni Bay,24530,45,5,8,26,"2,056"
1985,06/28,Tyonek,24720,343,1,3,6,64
1985,06/28,West Foreland,24560,100,,10,1,118
1985,06/28,West Side,24610,48,10,27,15,"2,476"
1985,06/28,,24450,3,41,1,2,173
1985,06/28,,24460,28,"1,091",52,69,"4,552"
1985,06/28,,24470,16,971,37,64,"3,539"
1985,06/28,,24570,1,12,,2,61
1985,06/28,,24580,36,"1,012",90,66,"5,119"
1985,06/28,,24590,51,"1,123",203,77,"4,745"
1985,07/01,#3 Bay,24790,4,,2,14,282
1985,07/01,Birch Hill,24780,4,,,2,169
1985,07/01,Chinitna,24510,5,21,,20,213
1985,07/01,Cohn,24422,98,2,7,48,"4,105"
1985,07/01,East Side,24620,40,14,50,14,"1,556"
1985,07/01,Little Jack Slough,24550,3,,2,3,65
1985,07/01,Ninilchik,24421,188,,5,144,"14,690"
1985,07/01,Polly Creek,24540,15,,4,15,"2,577"
1985,07/01,Pt. Possession,24770,37,1,8,20,212
1985,07/01,Silver Salmon,24520,,,3,1,221
1985,07/01,Susitna Flats,24741,4,,,,
1985,07/01,Trading Bay,24710,51,,4,,27
1985,07/01,Tuxedni Bay,24530,25,3,16,52,"3,489"
1985,07/01,Tyonek,24720,52,,9,,27
1985,07/01,Unknown,24430,102,,2,63,"5,599"
1985,07/01,Unknown,24440,99,1,10,47,"1,169"
1985,07/01,West Foreland,24560,23,,8,,42
1985,07/01,West Side,24610,50,7,48,22,"1,453"
1985,07/01,,24450,2,23,2,,69
1985,07/01,,24460,68,"2,672",168,200,"12,421"
1985,07/01,,24470,39,"1,586",155,127,"9,452"
1985,07/01,,24570,4,113,3,7,429
1985,07/01,,24580,11,888,66,37,"4,474"
1985,07/01,,24590,10,"1,626",227,63,"9,744"
1985,07/02,#3 Bay,24790,1,,,,11
1985,07/05,#3 Bay,24790,8,,5,38,579
1985,07/05,Beluga,24730,62,17,26,20,393
1985,07/05,Birch Hill,24780,4,,3,14,201
1985,07/05,Chinitna,24510,3,92,4,17,"1,289"
1985,07/05,Cohn,24422,161,1,10,102,"5,794"
1985,07/05,East Side,24620,48,61,395,36,"2,985"
1985,07/05,Fire Island,24743,2,,2,2,18
1985,07/05,Little Jack Slough,24550,10,,46,5,172
1985,07/05,Ninilchik,24421,223,,8,153,"11,885"
1985,07/05,Polly Creek,24540,29,,90,33,"1,804"
1985,07/05,Pt. Mackenzie,24742,,2,1,1,4
1985,07/05,Pt. Possession,24770,10,3,8,44,322
1985,07/05,Silver Salmon,24520,2,2,49,7,511
1985,07/05,Susitna Flats,24741,2,,,2,19
1985,07/05,Trading Bay,24710,83,1,18,27,152
1985,07/05,Tuxedni Bay,24530,67,17,32,48,"2,888"
1985,07/05,Tyonek,24720,68,1,21,12,310
1985,07/05,Unknown,24430,215,,21,129,"10,000"
1985,07/05,Unknown,24440,155,3,37,379,"2,506"
1985,07/05,West Foreland,24560,13,,20,2,57
1985,07/05,West Side,24610,40,3,259,15,"2,009"
1985,07/05,,24450,2,70,1,4,236
1985,07/05,,24460,39,"5,510",925,168,"19,962"
1985,07/05,,24470,36,"5,007",965,184,"21,990"
1985,07/05,,24570,,169,10,,114
1985,07/05,,24580,21,"4,683",761,84,"13,222"
1985,07/05,,24590,25,"5,722","1,193",118,"19,095"
1985,07/07,Polly Creek,24540,29,5,59,12,"1,164"
1985,07/07,Tuxedni Bay,24530,5,8,18,4,683
1985,07/07,West Side,24610,3,,36,8,132
1985,07/08,#3 Bay,24790,1,1,38,117,559
1985,07/08,Beluga,24730,34,43,102,50,302
1985,07/08,Birch Hill,24780,6,,5,11,89
1985,07/08,Chinitna,24510,3,93,9,29,495
1985,07/08,Cohn,24422,186,,16,69,"5,888"
1985,07/08,East Side,24620,44,316,455,51,"1,216"
1985,07/08,Fire Island,24743,5,2,3,20,80
1985,07/08,Little Jack Slough,24550,9,,118,6,201
1985,07/08,Ninilchik,24421,337,,9,164,"10,938"
1985,07/08,Polly Creek,24540,21,16,131,31,"1,359"
1985,07/08,Pt. Mackenzie,24742,8,1,3,,2
1985,07/08,Pt. Possession,24770,6,3,59,166,532
1985,07/08,Silver Salmon,24520,9,1,110,14,833
1985,07/08,Susitna Flats,24741,14,1,6,3,36
1985,07/08,Trading Bay,24710,42,6,72,43,206
1985,07/08,Tuxedni Bay,24530,101,79,104,54,"6,345"
1985,07/08,Tyonek,24720,42,8,183,74,550
1985,07/08,Unknown,24430,435,,23,54,"7,921"
1985,07/08,Unknown,24440,103,2,98,410,"2,037"
1985,07/08,West Foreland,24560,8,1,59,7,132
1985,07/08,West Side,24610,37,1,387,75,727
1985,07/08,,24450,2,174,59,3,680
1985,07/08,,24460,30,"10,715","3,552",255,"69,084"
1985,07/08,,24470,27,"9,067","4,124",244,"80,713"
1985,07/08,,24570,,324,58,14,"2,124"
1985,07/08,,24580,14,"5,829","2,101",161,"39,205"
1985,07/08,,24590,27,"10,496","4,961",277,"87,488"
1985,07/09,Little Jack Slough,24550,,,24,6,50
1985,07/09,Polly Creek,24540,11,,47,1,915
1985,07/09,Tuxedni Bay,24530,4,27,111,22,"2,299"
1985,07/09,West Side,24610,,6,5,7,124
1985,07/10,Cohn,24422,324,,12,117,"12,073"
1985,07/10,East Side,24620,14,8,89,13,198
1985,07/10,Little Jack Slough,24550,,,14,3,21
1985,07/10,Ninilchik,24421,423,,24,238,"14,651"
1985,07/10,Polly Creek,24540,9,3,96,39,762
1985,07/10,Silver Salmon,24520,10,7,81,17,729
1985,07/10,Tuxedni Bay,24530,20,79,103,69,"6,003"
1985,07/10,Unknown,24430,422,,25,50,"7,566"
1985,07/10,West Side,24610,1,22,35,9,658
1985,07/10,,24460,70,"5,997","1,387",435,"52,633"
1985,07/11,Little Jack Slough,24550,1,,12,5,13
1985,07/11,Polly Creek,24540,3,,83,25,218
1985,07/11,Silver Salmon,24520,6,4,108,36,"1,306"
1985,07/11,Tuxedni Bay,24530,8,39,112,49,"2,907"
1985,07/11,West Side,24610,,,3,2,57
1985,07/12,#3 Bay,24790,3,,8,98,110
1985,07/12,Beluga,24730,10,1,17,8,23
1985,07/12,Birch Hill,24780,5,,2,66,331
1985,07/12,Chinitna,24510,9,175,19,43,166
1985,07/12,Cohn,24422,412,,13,166,"6,044"
1985,07/12,East Side,24620,19,6,"1,036",107,"1,161"
1985,07/12,Fire Island,24743,1,,18,5,116
1985,07/12,Little Jack Slough,24550,4,,284,45,429
1985,07/12,Ninilchik,24421,538,,36,249,"9,097"
1985,07/12,Polly Creek,24540,14,5,334,107,"1,723"
1985,07/12,Pt. Mackenzie,24742,,,20,,60
1985,07/12,Pt. Possession,24770,7,,44,326,662
1985,07/12,Silver Salmon,24520,18,6,43,27,644
1985,07/12,Susitna Flats,24741,14,1,21,15,64
1985,07/12,Trading Bay,24710,14,1,68,173,189
1985,07/12,Tuxedni Bay,24530,15,61,167,49,"6,829"
1985,07/12,Tyonek,24720,11,1,57,62,187
1985,07/12,Unknown,24430,518,,18,83,"14,376"
1985,07/12,Unknown,24440,41,,30,518,"1,265"
1985,07/12,West Foreland,24560,23,,132,51,271
1985,07/12,West Side,24610,12,22,619,84,"1,888"
1985,07/12,,24450,51,"29,475","8,998",737,"112,490"
1985,07/12,,24460,106,"31,397","15,900",863,"219,773"
1985,07/12,,24470,20,"5,816","3,094",154,"37,259"
1985,07/12,,24570,9,705,237,7,"2,748"
1985,07/12,,24580,13,"3,996","1,954",158,"23,329"
1985,07/12,,24590,9,"2,623","1,706",47,"15,918"
1985,07/13,Little Jack Slough,24550,,,59,1,55
1985,07/13,Polly Creek,24540,13,10,259,11,"2,159"
1985,07/13,Silver Salmon,24520,3,8,58,4,483
1985,07/13,Tuxedni Bay,24530,3,52,81,9,"2,559"
1985,07/13,West Side,24610,,8,54,3,398
1985,07/14,Cohn,24422,9,,8,10,"2,300"
1985,07/14,Little Jack Slough,24550,,,78,7,44
1985,07/14,Ninilchik,24421,25,,2,15,"1,364"
1985,07/14,Polly Creek,24540,6,4,250,9,879
1985,07/14,Silver Salmon,24520,1,7,78,15,767
1985,07/14,Tuxedni Bay,24530,17,90,254,57,"8,849"
1985,07/14,Unknown,24430,1,,3,,"1,992"
1985,07/14,West Side,24610,,18,22,9,342
